time_iso8601,forks_cumulative
2021-10-10 00:00:00+00:00,2
2021-10-14 00:00:00+00:00,3
2021-10-19 00:00:00+00:00,4
2022-01-20 00:00:00+00:00,5
2022-03-31 00:00:00+00:00,6
