time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-10 00:00:00+00:00,4.0,3.0,13,1
2022-11-11 00:00:00+00:00,4.0,3.0,3,2
2022-11-12 00:00:00+00:00,,,6,2
2022-11-13 00:00:00+00:00,,,4,2
2022-11-14 00:00:00+00:00,1.0,1.0,6,3
2022-11-15 00:00:00+00:00,,,5,4
2022-11-16 00:00:00+00:00,1.0,1.0,5,3
2022-11-17 00:00:00+00:00,,,4,3
2022-11-18 00:00:00+00:00,1.0,1.0,15,1
2022-11-19 00:00:00+00:00,1.0,1.0,7,3
2022-11-20 00:00:00+00:00,1.0,1.0,4,2
2022-11-21 00:00:00+00:00,1.0,1.0,1,1
2022-11-22 00:00:00+00:00,,,4,4
2022-11-23 00:00:00+00:00,,,1,1
