time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-11 00:00:00+00:00,1.0,1.0,5,4
2022-02-12 00:00:00+00:00,,,6,5
2022-02-13 00:00:00+00:00,,,4,4
2022-02-14 00:00:00+00:00,3.0,2.0,8,4
2022-02-15 00:00:00+00:00,2.0,2.0,17,7
2022-02-16 00:00:00+00:00,,,15,9
2022-02-17 00:00:00+00:00,1.0,1.0,12,4
2022-02-18 00:00:00+00:00,,,17,7
2022-02-19 00:00:00+00:00,,,5,4
2022-02-20 00:00:00+00:00,,,3,2
2022-02-21 00:00:00+00:00,2.0,2.0,6,4
2022-02-22 00:00:00+00:00,,,9,5
2022-02-23 00:00:00+00:00,2.0,2.0,3,3
2022-02-24 00:00:00+00:00,,,14,5
