time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-06 00:00:00+00:00,3,3,21,8
2023-05-07 00:00:00+00:00,4,4,23,11
2023-05-08 00:00:00+00:00,9,6,31,22
2023-05-09 00:00:00+00:00,2,2,21,13
2023-05-10 00:00:00+00:00,6,5,29,21
2023-05-11 00:00:00+00:00,6,5,49,25
2023-05-12 00:00:00+00:00,3,3,22,18
2023-05-13 00:00:00+00:00,6,4,22,13
2023-05-14 00:00:00+00:00,5,3,31,12
2023-05-15 00:00:00+00:00,6,4,43,21
2023-05-16 00:00:00+00:00,11,9,29,12
2023-05-17 00:00:00+00:00,8,6,55,16
2023-05-18 00:00:00+00:00,5,5,21,15
2023-05-19 00:00:00+00:00,3,3,33,9
