time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-17 00:00:00+00:00,2.0,2.0,16,8
2022-09-18 00:00:00+00:00,18.0,4.0,12,7
2022-09-19 00:00:00+00:00,8.0,6.0,20,14
2022-09-20 00:00:00+00:00,2.0,2.0,13,11
2022-09-21 00:00:00+00:00,,,11,8
2022-09-22 00:00:00+00:00,12.0,11.0,52,34
2022-09-23 00:00:00+00:00,20.0,16.0,122,64
2022-09-24 00:00:00+00:00,7.0,5.0,125,86
2022-09-25 00:00:00+00:00,6.0,5.0,32,27
2022-09-26 00:00:00+00:00,12.0,9.0,61,39
2022-09-27 00:00:00+00:00,3.0,3.0,59,37
2022-09-28 00:00:00+00:00,8.0,7.0,37,27
2022-09-29 00:00:00+00:00,6.0,5.0,23,14
2022-09-30 00:00:00+00:00,9.0,7.0,26,22
