url_path,views_total,views_unique
/tom-doerr/zsh_codex,205,137
/tom-doerr/zsh_codex/blob/main/create_completion.py,36,13
/tom-doerr/zsh_codex/issues,24,10
/tom-doerr/zsh_codex/blob/main/zsh_codex.plugin.zsh,14,6
/tom-doerr/zsh_codex/issues/1,13,5
/tom-doerr/zsh_codex/issues/16,11,8
/tom-doerr/zsh_codex/pull/27,8,3
/tom-doerr/zsh_codex/compare/main...huaxiabuluo:zsh_codex:main,6,1
/tom-doerr/zsh_codex/compare/main...tzutalin:zsh_codex:main,6,1
/tom-doerr/zsh_codex/edit/main/create_completion.py,6,1
