time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-29 00:00:00+00:00,3,3,18,10
2023-04-30 00:00:00+00:00,3,2,21,13
2023-05-01 00:00:00+00:00,8,3,10,9
2023-05-02 00:00:00+00:00,9,8,35,23
2023-05-03 00:00:00+00:00,4,4,28,20
2023-05-04 00:00:00+00:00,8,8,35,20
2023-05-05 00:00:00+00:00,9,8,50,24
2023-05-06 00:00:00+00:00,3,3,21,8
2023-05-07 00:00:00+00:00,4,4,23,11
2023-05-08 00:00:00+00:00,9,6,31,22
2023-05-09 00:00:00+00:00,2,2,21,13
2023-05-10 00:00:00+00:00,6,5,29,21
2023-05-11 00:00:00+00:00,6,5,49,25
2023-05-12 00:00:00+00:00,3,3,21,18
