time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-20 00:00:00+00:00,5,5,39,22
2022-04-21 00:00:00+00:00,6,6,44,31
2022-04-22 00:00:00+00:00,8,6,91,48
2022-04-23 00:00:00+00:00,2,2,16,9
2022-04-24 00:00:00+00:00,8,7,62,19
2022-04-25 00:00:00+00:00,5,4,49,26
2022-04-26 00:00:00+00:00,8,6,42,22
2022-04-27 00:00:00+00:00,15,10,19,10
2022-04-28 00:00:00+00:00,8,5,50,26
2022-04-29 00:00:00+00:00,4,3,24,16
2022-04-30 00:00:00+00:00,3,2,13,8
2022-05-01 00:00:00+00:00,6,6,13,11
2022-05-02 00:00:00+00:00,7,5,21,17
2022-05-03 00:00:00+00:00,4,2,31,17
