time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-30 00:00:00+00:00,7,6,26,15
2022-05-31 00:00:00+00:00,8,7,88,37
2022-06-01 00:00:00+00:00,5,4,38,25
2022-06-02 00:00:00+00:00,7,4,25,15
2022-06-03 00:00:00+00:00,1,1,15,13
2022-06-04 00:00:00+00:00,9,7,33,17
2022-06-05 00:00:00+00:00,1,1,26,11
2022-06-06 00:00:00+00:00,1,1,25,13
2022-06-07 00:00:00+00:00,4,2,9,9
2022-06-08 00:00:00+00:00,6,3,14,12
2022-06-09 00:00:00+00:00,4,3,21,16
2022-06-10 00:00:00+00:00,9,5,15,9
2022-06-11 00:00:00+00:00,1,1,14,8
2022-06-12 00:00:00+00:00,2,2,9,8
