url_path,views_total,views_unique
/tom-doerr/zsh_codex,97,61
/tom-doerr/zsh_codex/blob/main/zsh_codex.plugin.zsh,16,10
/tom-doerr/zsh_codex/blob/main/create_completion.py,11,11
/tom-doerr/zsh_codex/issues,10,3
/tom-doerr/zsh_codex/issues/5,3,2
/tom-doerr/zsh_codex/blob/main/README.md,1,1
/tom-doerr/zsh_codex/commit/1a16850331fdff252e9295fb878d6dda21dc4f84,1,1
/tom-doerr/zsh_codex/commit/6d6517fa6aae922df88baeb1a99d8ba11bbdd81d,1,1
/tom-doerr/zsh_codex/commit/ef54286414556c5d4135579174ae4541b2b7070d,1,1
/tom-doerr/zsh_codex/commits/main,1,1
