url_path,views_total,views_unique
/tom-doerr/zsh_codex,179,126
/tom-doerr/zsh_codex/blob/main/create_completion.py,22,10
/tom-doerr/zsh_codex/blob/main/zsh_codex.plugin.zsh,13,5
/tom-doerr/zsh_codex/issues,9,5
/tom-doerr/zsh_codex/issues/16,8,6
/tom-doerr/zsh_codex/compare/main...andreicozma1:zsh_codex:sourcery/main,5,1
/tom-doerr/zsh_codex/compare/main...tzutalin:zsh_codex:main,5,1
/tom-doerr/zsh_codex/blob/7858a610050ea29cc85977ba80e87e4bbb34f46f/create_completion.py,4,2
/tom-doerr/zsh_codex/blob/main/.gitignore,4,1
/tom-doerr/zsh_codex/issues/5,3,3
