time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-25 00:00:00+00:00,9,7,49,19
2023-05-26 00:00:00+00:00,3,3,14,12
2023-05-27 00:00:00+00:00,5,4,16,10
2023-05-28 00:00:00+00:00,2,2,15,9
2023-05-29 00:00:00+00:00,3,3,15,10
2023-05-30 00:00:00+00:00,3,3,34,14
2023-05-31 00:00:00+00:00,7,6,31,15
2023-06-01 00:00:00+00:00,2,2,21,13
2023-06-02 00:00:00+00:00,5,5,21,12
2023-06-03 00:00:00+00:00,4,3,24,9
2023-06-04 00:00:00+00:00,5,5,14,11
2023-06-05 00:00:00+00:00,4,3,19,13
2023-06-06 00:00:00+00:00,2,2,14,9
2023-06-07 00:00:00+00:00,1,1,28,12
