url_path,views_total,views_unique
/tom-doerr/codex-readme,173,137
/tom-doerr/codex-readme/blob/main/codex_readme.py,28,22
/tom-doerr/codex-readme/blob/main/requirements.txt,9,9
/tom-doerr/codex-readme/blob/main/setup.py,7,7
/tom-doerr/codex-readme/blob/main/README.md,7,6
/tom-doerr/codex-readme/issues/1,7,6
/tom-doerr/codex-readme/blob/main/LICENSE,4,4
/tom-doerr/codex-readme/pulls,3,2
/tom-doerr/codex-readme/issues,2,1
/tom-doerr/codex-readme/blob/4528cab2b7bbcd2c8c2dc714516255defa66c859/codex_readme.py,1,1
