url_path,views_total,views_unique
/tom-doerr/codex-readme,259,180
/tom-doerr/codex-readme/blob/main/codex_readme.py,51,31
/tom-doerr/codex-readme/blob/main/README.md,14,6
/tom-doerr/codex-readme/blob/main/setup.py,11,8
/tom-doerr/codex-readme/blob/main/requirements.txt,9,6
/tom-doerr/codex-readme/issues,8,5
/tom-doerr/codex-readme/issues/5,5,4
/tom-doerr/codex-readme/issues/1,4,3
/tom-doerr/codex-readme/issues/2,3,3
/tom-doerr/codex-readme/blob/f849d662429a87aa651433cbc93ccfd16360829a/codex_readme.py,2,2
