url_path,views_total,views_unique
/tom-doerr/codex-readme,228,159
/tom-doerr/codex-readme/blob/main/codex_readme.py,50,29
/tom-doerr/codex-readme/blob/main/README.md,13,5
/tom-doerr/codex-readme/blob/main/requirements.txt,11,8
/tom-doerr/codex-readme/blob/main/setup.py,11,7
/tom-doerr/codex-readme/issues,7,4
/tom-doerr/codex-readme/issues/1,6,5
/tom-doerr/codex-readme/issues/5,5,4
/tom-doerr/codex-readme/blob/f849d662429a87aa651433cbc93ccfd16360829a/codex_readme.py,2,2
/tom-doerr/codex-readme/blob/main/.gitignore,2,2
