time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-11 00:00:00+00:00,2.0,2.0,15,10
2023-01-12 00:00:00+00:00,,,11,9
2023-01-13 00:00:00+00:00,,,25,15
2023-01-14 00:00:00+00:00,,,9,8
2023-01-15 00:00:00+00:00,1.0,1.0,9,8
2023-01-16 00:00:00+00:00,,,11,10
2023-01-17 00:00:00+00:00,2.0,2.0,18,11
2023-01-18 00:00:00+00:00,,,11,8
2023-01-19 00:00:00+00:00,2.0,2.0,34,17
2023-01-20 00:00:00+00:00,,,20,13
2023-01-21 00:00:00+00:00,1.0,1.0,14,11
2023-01-22 00:00:00+00:00,,,16,10
2023-01-23 00:00:00+00:00,1.0,1.0,15,13
2023-01-24 00:00:00+00:00,,,14,13
