time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-09 00:00:00+00:00,1.0,1.0,10,9
2023-03-10 00:00:00+00:00,,,5,4
2023-03-11 00:00:00+00:00,13.0,8.0,127,63
2023-03-12 00:00:00+00:00,1.0,1.0,41,24
2023-03-13 00:00:00+00:00,4.0,4.0,46,21
2023-03-14 00:00:00+00:00,17.0,15.0,1176,672
2023-03-15 00:00:00+00:00,27.0,25.0,1865,1039
2023-03-16 00:00:00+00:00,18.0,18.0,951,508
2023-03-17 00:00:00+00:00,13.0,13.0,427,162
2023-03-18 00:00:00+00:00,7.0,7.0,104,68
2023-03-19 00:00:00+00:00,1.0,1.0,107,65
2023-03-20 00:00:00+00:00,8.0,6.0,174,90
2023-03-21 00:00:00+00:00,4.0,3.0,135,56
2023-03-22 00:00:00+00:00,10.0,9.0,97,47
