url_path,views_total,views_unique
/tom-doerr/codex-readme,180,136
/tom-doerr/codex-readme/blob/main/codex_readme.py,32,21
/tom-doerr/codex-readme/issues/1,10,8
/tom-doerr/codex-readme/issues,10,7
/tom-doerr/codex-readme/blob/main/setup.py,8,6
/tom-doerr/codex-readme/blob/main/requirements.txt,7,6
/tom-doerr/codex-readme/issues/5,5,4
/tom-doerr/codex-readme/blob/main/README.md,3,3
/tom-doerr/codex-readme/blob/f849d662429a87aa651433cbc93ccfd16360829a/codex_readme.py,2,2
/tom-doerr/codex-readme/blob/main/.gitignore,1,1
