url_path,views_total,views_unique
/tom-doerr/codex-readme,174,136
/tom-doerr/codex-readme/blob/main/codex_readme.py,25,19
/tom-doerr/codex-readme/blob/main/requirements.txt,8,8
/tom-doerr/codex-readme/issues/1,7,6
/tom-doerr/codex-readme/blob/main/README.md,6,5
/tom-doerr/codex-readme/blob/main/setup.py,5,5
/tom-doerr/codex-readme/blob/main/LICENSE,3,3
/tom-doerr/codex-readme/pulls,3,2
/tom-doerr/codex-readme/blob/4528cab2b7bbcd2c8c2dc714516255defa66c859/codex_readme.py,1,1
/tom-doerr/codex-readme/blob/main/.gitignore,1,1
