url_path,views_total,views_unique
/tom-doerr/codex-readme,162,142
/tom-doerr/codex-readme/blob/main/codex_readme.py,21,13
/tom-doerr/codex-readme/issues/1,8,8
/tom-doerr/codex-readme/blob/main/requirements.txt,5,5
/tom-doerr/codex-readme/blob/main/setup.py,3,3
/tom-doerr/codex-readme/blob/main/README.md,3,2
/tom-doerr/codex-readme/blob/main/LICENSE,1,1
/tom-doerr/codex-readme/commit/4528cab2b7bbcd2c8c2dc714516255defa66c859,1,1
/tom-doerr/codex-readme/commits/develop,1,1
/tom-doerr/codex-readme/commits/main,1,1
