time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-01 00:00:00+00:00,1.0,1.0,8,6
2023-01-02 00:00:00+00:00,,,11,8
2023-01-03 00:00:00+00:00,7.0,4.0,10,9
2023-01-04 00:00:00+00:00,2.0,2.0,11,7
2023-01-05 00:00:00+00:00,,,14,11
2023-01-06 00:00:00+00:00,4.0,2.0,4,4
2023-01-07 00:00:00+00:00,,,27,8
2023-01-08 00:00:00+00:00,,,19,10
2023-01-09 00:00:00+00:00,,,13,11
2023-01-10 00:00:00+00:00,1.0,1.0,17,13
2023-01-11 00:00:00+00:00,2.0,2.0,15,10
2023-01-12 00:00:00+00:00,,,11,9
2023-01-13 00:00:00+00:00,,,25,15
2023-01-14 00:00:00+00:00,,,8,7
