time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-05 00:00:00+00:00,3.0,3.0,33,26
2022-12-06 00:00:00+00:00,6.0,3.0,22,20
2022-12-07 00:00:00+00:00,6.0,3.0,50,41
2022-12-08 00:00:00+00:00,1.0,1.0,30,28
2022-12-09 00:00:00+00:00,,,40,25
2022-12-10 00:00:00+00:00,,,16,15
2022-12-11 00:00:00+00:00,,,25,22
2022-12-12 00:00:00+00:00,,,28,25
2022-12-13 00:00:00+00:00,1.0,1.0,33,22
2022-12-14 00:00:00+00:00,1.0,1.0,30,22
2022-12-15 00:00:00+00:00,2.0,2.0,24,20
2022-12-16 00:00:00+00:00,2.0,2.0,32,18
2022-12-17 00:00:00+00:00,,,6,4
2022-12-18 00:00:00+00:00,,,17,11
