time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-13 00:00:00+00:00,4,4,46,21
2023-03-14 00:00:00+00:00,17,15,1176,672
2023-03-15 00:00:00+00:00,27,25,1865,1039
2023-03-16 00:00:00+00:00,18,18,951,508
2023-03-17 00:00:00+00:00,13,13,427,162
2023-03-18 00:00:00+00:00,7,7,104,68
2023-03-19 00:00:00+00:00,1,1,107,65
2023-03-20 00:00:00+00:00,8,6,174,90
2023-03-21 00:00:00+00:00,4,3,135,56
2023-03-22 00:00:00+00:00,10,9,98,48
2023-03-23 00:00:00+00:00,5,3,73,34
2023-03-24 00:00:00+00:00,2,2,57,31
2023-03-25 00:00:00+00:00,3,3,40,27
2023-03-26 00:00:00+00:00,1,1,30,18
