time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-31 00:00:00+00:00,,,14,3
2023-01-01 00:00:00+00:00,3.0,3.0,17,8
2023-01-02 00:00:00+00:00,,,15,6
2023-01-03 00:00:00+00:00,6.0,4.0,14,7
2023-01-04 00:00:00+00:00,10.0,6.0,34,10
2023-01-05 00:00:00+00:00,3.0,3.0,15,8
2023-01-06 00:00:00+00:00,4.0,1.0,8,7
2023-01-07 00:00:00+00:00,5.0,4.0,105,58
2023-01-08 00:00:00+00:00,5.0,5.0,39,17
2023-01-09 00:00:00+00:00,3.0,3.0,18,11
2023-01-10 00:00:00+00:00,8.0,6.0,12,10
2023-01-11 00:00:00+00:00,3.0,3.0,30,18
2023-01-12 00:00:00+00:00,4.0,3.0,20,9
2023-01-13 00:00:00+00:00,3.0,2.0,22,7
