time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-21 00:00:00+00:00,3.0,3.0,18,8
2023-04-22 00:00:00+00:00,4.0,3.0,10,9
2023-04-23 00:00:00+00:00,,,2,2
2023-04-24 00:00:00+00:00,1.0,1.0,4,4
2023-04-25 00:00:00+00:00,,,18,12
2023-04-26 00:00:00+00:00,1.0,1.0,5,5
2023-04-27 00:00:00+00:00,2.0,2.0,23,9
2023-04-28 00:00:00+00:00,,,10,8
2023-04-29 00:00:00+00:00,8.0,3.0,4,3
2023-04-30 00:00:00+00:00,,,6,5
2023-05-01 00:00:00+00:00,2.0,1.0,21,7
2023-05-02 00:00:00+00:00,5.0,3.0,14,13
2023-05-03 00:00:00+00:00,1.0,1.0,6,5
2023-05-04 00:00:00+00:00,1.0,1.0,14,7
