time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-03 00:00:00+00:00,1.0,1.0,17,10
2022-12-04 00:00:00+00:00,2.0,1.0,29,17
2022-12-05 00:00:00+00:00,9.0,6.0,61,15
2022-12-06 00:00:00+00:00,10.0,5.0,17,10
2022-12-07 00:00:00+00:00,11.0,7.0,53,24
2022-12-08 00:00:00+00:00,,,37,10
2022-12-09 00:00:00+00:00,1.0,1.0,13,8
2022-12-10 00:00:00+00:00,1.0,1.0,19,6
2022-12-11 00:00:00+00:00,1.0,1.0,22,4
2022-12-12 00:00:00+00:00,3.0,2.0,8,7
2022-12-13 00:00:00+00:00,4.0,4.0,21,10
2022-12-14 00:00:00+00:00,4.0,3.0,74,17
2022-12-15 00:00:00+00:00,10.0,5.0,40,13
2022-12-16 00:00:00+00:00,2.0,2.0,10,7
