time_iso8601,forks_cumulative
2020-08-27 00:00:00+00:00,1
2020-09-07 00:00:00+00:00,2
2020-09-12 00:00:00+00:00,3
2020-10-13 00:00:00+00:00,4
2020-11-20 00:00:00+00:00,5
2021-02-17 00:00:00+00:00,6
2021-03-05 00:00:00+00:00,7
2021-05-28 00:00:00+00:00,8
2021-06-10 00:00:00+00:00,9
2021-07-30 00:00:00+00:00,10
2021-10-22 00:00:00+00:00,16
2021-10-24 00:00:00+00:00,17
2021-10-27 00:00:00+00:00,18
2021-11-23 00:00:00+00:00,19
2022-09-11 00:00:00+00:00,20
2022-09-29 00:00:00+00:00,21
