time_iso8601,stars_cumulative
2022-07-08 00:00:00+00:00,770
2022-07-13 00:00:00+00:00,772
2022-07-16 00:00:00+00:00,773
2022-07-17 00:00:00+00:00,774
2022-07-18 00:00:00+00:00,775
2022-07-20 00:00:00+00:00,776
2022-07-26 00:00:00+00:00,777
2022-08-03 00:00:00+00:00,779
2022-08-04 00:00:00+00:00,780
2022-08-05 00:00:00+00:00,781
2022-08-06 00:00:00+00:00,783
2022-08-08 00:00:00+00:00,786
2022-08-10 00:00:00+00:00,788
2022-08-12 00:00:00+00:00,789
2022-08-13 00:00:00+00:00,791
2022-08-14 00:00:00+00:00,794
2022-08-15 00:00:00+00:00,795
2022-08-16 00:00:00+00:00,796
2022-08-18 00:00:00+00:00,797
2022-08-20 00:00:00+00:00,798
2022-08-21 00:00:00+00:00,800
2022-08-23 00:00:00+00:00,801
2022-08-25 00:00:00+00:00,802
2022-08-26 00:00:00+00:00,803
2022-09-04 00:00:00+00:00,804
2022-09-05 00:00:00+00:00,806
2022-09-08 00:00:00+00:00,807
2022-09-09 00:00:00+00:00,808
2022-09-10 00:00:00+00:00,809
2022-09-11 00:00:00+00:00,810
2022-09-14 00:00:00+00:00,812
2022-09-15 00:00:00+00:00,813
2022-09-16 00:00:00+00:00,814
2022-09-19 00:00:00+00:00,815
2022-09-22 00:00:00+00:00,820
2022-09-23 00:00:00+00:00,828
2022-09-24 00:00:00+00:00,841
2022-09-25 00:00:00+00:00,844
2022-09-26 00:00:00+00:00,847
2022-09-27 00:00:00+00:00,848
2022-09-28 00:00:00+00:00,850
2022-10-02 00:00:00+00:00,851
2022-10-03 00:00:00+00:00,852
2022-10-04 00:00:00+00:00,854
2022-10-05 00:00:00+00:00,855
2022-10-06 00:00:00+00:00,857
2022-10-07 00:00:00+00:00,858
2022-10-10 00:00:00+00:00,859
2022-10-13 00:00:00+00:00,861
2022-10-14 00:00:00+00:00,862
2022-10-16 00:00:00+00:00,864
2022-10-17 00:00:00+00:00,865
2022-10-18 00:00:00+00:00,868
2022-10-19 00:00:00+00:00,872
2022-10-21 00:00:00+00:00,873
2022-10-24 00:00:00+00:00,874
2022-10-27 00:00:00+00:00,875
2022-10-28 00:00:00+00:00,877
2022-10-31 00:00:00+00:00,878
2022-11-01 00:00:00+00:00,879
2022-11-02 00:00:00+00:00,880
2022-11-03 00:00:00+00:00,882
2022-11-04 00:00:00+00:00,888
2022-11-05 00:00:00+00:00,889
2022-11-06 00:00:00+00:00,890
2022-11-08 00:00:00+00:00,892
2022-11-09 00:00:00+00:00,893
2022-11-10 00:00:00+00:00,896
2022-11-11 00:00:00+00:00,897
2022-11-14 00:00:00+00:00,900
2022-11-15 00:00:00+00:00,902
2022-11-17 00:00:00+00:00,905
2022-11-18 00:00:00+00:00,906
2022-11-19 00:00:00+00:00,907
2022-11-20 00:00:00+00:00,908
2022-11-22 00:00:00+00:00,909
2022-11-23 00:00:00+00:00,911
2022-11-25 00:00:00+00:00,912
2022-11-26 00:00:00+00:00,913
2022-11-27 00:00:00+00:00,914
2022-12-01 00:00:00+00:00,917
2022-12-02 00:00:00+00:00,918
2022-12-03 00:00:00+00:00,919
2022-12-05 00:00:00+00:00,920
2022-12-06 00:00:00+00:00,921
2022-12-07 00:00:00+00:00,923
2022-12-08 00:00:00+00:00,926
2022-12-09 00:00:00+00:00,930
2022-12-11 00:00:00+00:00,933
2022-12-12 00:00:00+00:00,937
2022-12-13 00:00:00+00:00,939
2022-12-14 00:00:00+00:00,944
2022-12-15 00:00:00+00:00,949
2022-12-16 00:00:00+00:00,950
2022-12-17 00:00:00+00:00,952
2022-12-19 00:00:00+00:00,953
2022-12-22 00:00:00+00:00,955
2022-12-24 00:00:00+00:00,956
2022-12-25 00:00:00+00:00,957
2022-12-27 00:00:00+00:00,958
2022-12-28 00:00:00+00:00,959
2022-12-29 00:00:00+00:00,964
2022-12-30 00:00:00+00:00,965
2023-01-03 00:00:00+00:00,967
2023-01-07 00:00:00+00:00,968
2023-01-09 00:00:00+00:00,969
2023-01-10 00:00:00+00:00,972
2023-01-11 00:00:00+00:00,975
2023-01-13 00:00:00+00:00,978
2023-01-14 00:00:00+00:00,981
2023-01-15 00:00:00+00:00,983
2023-01-17 00:00:00+00:00,985
2023-01-18 00:00:00+00:00,986
2023-01-21 00:00:00+00:00,987
2023-01-22 00:00:00+00:00,989
2023-01-23 00:00:00+00:00,990
2023-01-24 00:00:00+00:00,991
2023-01-25 00:00:00+00:00,993
2023-01-26 00:00:00+00:00,994
2023-01-27 00:00:00+00:00,997
2023-01-31 00:00:00+00:00,998
2023-02-01 00:00:00+00:00,1000
2023-02-02 00:00:00+00:00,1003
2023-02-03 00:00:00+00:00,1008
2023-02-06 00:00:00+00:00,1011
2023-02-07 00:00:00+00:00,1016
2023-02-09 00:00:00+00:00,1018
2023-02-10 00:00:00+00:00,1023
2023-02-11 00:00:00+00:00,1024
2023-02-12 00:00:00+00:00,1025
2023-02-13 00:00:00+00:00,1026
2023-02-14 00:00:00+00:00,1027
2023-02-15 00:00:00+00:00,1028
2023-02-16 00:00:00+00:00,1032
2023-02-19 00:00:00+00:00,1034
2023-02-20 00:00:00+00:00,1036
2023-02-22 00:00:00+00:00,1038
2023-02-23 00:00:00+00:00,1040
2023-02-28 00:00:00+00:00,1041
2023-03-02 00:00:00+00:00,1042
